Subset,Hyperparameter Combination,Type,Score
Subset 61,15,enhanced,0.7567567567567568
Subset 61,16,pure,0.7537537537537538
Subset 61,16,enhanced,0.7577577577577578
Subset 61,17,pure,0.7394789579158316
Subset 61,17,enhanced,0.7457457457457457
Subset 61,18,pure,0.753259779338014
Subset 61,18,enhanced,0.7618090452261307
Subset 61,19,pure,0.7407035175879397
Subset 61,19,enhanced,0.7295660948536832
Subset 61,2,pure,0.7467467467467468
Subset 61,2,enhanced,0.7577889447236181
Subset 61,20,pure,0.7287287287287287
Subset 61,20,enhanced,0.7253521126760564
Subset 61,21,pure,0.7487487487487487
Subset 61,21,enhanced,0.7542627883650953
Subset 61,22,pure,0.7337337337337337
Subset 61,22,enhanced,0.7097097097097097
Subset 61,23,pure,0.7164328657314629
Subset 61,23,enhanced,0.7107107107107107
Subset 61,24,pure,0.7520325203252033
Subset 61,24,enhanced,0.7467467467467468
Subset 61,25,pure,0.7157157157157157
Subset 61,25,enhanced,0.7037037037037037
Subset 61,26,pure,0.701913393756294
Subset 61,26,enhanced,0.6906906906906907
Subset 61,27,pure,0.7424849699398798
Subset 61,27,enhanced,0.7454909819639278
Subset 61,28,pure,0.7057057057057057
Subset 61,28,enhanced,0.7034068136272545
Subset 61,29,pure,0.6916916916916916
Subset 61,29,enhanced,0.6835187057633973
Subset 61,3,pure,0.7507507507507507
Subset 61,3,enhanced,0.7587587587587588
Subset 61,30,pure,0.7487487487487487
Subset 61,30,enhanced,0.7597597597597597
Subset 61,31,pure,0.7547547547547547
Subset 61,31,enhanced,0.7527527527527528
Subset 61,32,pure,0.7387387387387387
Subset 61,32,enhanced,0.7367367367367368
Subset 61,33,pure,0.7517587939698492
Subset 61,33,enhanced,0.7547547547547547
Subset 61,34,pure,0.7337337337337337
Subset 61,34,enhanced,0.7147147147147147
Subset 61,35,pure,0.7147147147147147
Subset 61,35,enhanced,0.7064128256513026
Subset 61,36,pure,0.750501002004008
Subset 61,36,enhanced,0.750501002004008
Subset 61,37,pure,0.7267267267267268
Subset 61,37,enhanced,0.7044088176352705
Subset 61,38,pure,0.7004008016032064
Subset 61,38,enhanced,0.6920762286860582
Subset 61,39,pure,0.7417417417417418
Subset 61,39,enhanced,0.7457457457457457
Subset 61,4,pure,0.7464788732394366
Subset 61,4,enhanced,0.7487487487487487
Subset 61,40,pure,0.7038152610441767
Subset 61,40,enhanced,0.6986986986986987
Subset 61,41,pure,0.6940822467402207
Subset 61,41,enhanced,0.6746987951807228
Subset 61,42,pure,0.7427427427427428
Subset 61,42,enhanced,0.7457286432160805
Subset 61,43,pure,0.7037037037037037
Subset 61,43,enhanced,0.685370741482966
Subset 61,44,pure,0.6858006042296072
Subset 61,44,enhanced,0.6616616616616616
Subset 61,5,pure,0.7334669338677354
Subset 61,5,enhanced,0.7277277277277278
Subset 61,6,pure,0.7527527527527528
Subset 61,6,enhanced,0.7537537537537538
Subset 61,7,pure,0.7376884422110552
Subset 61,7,enhanced,0.7384769539078156
